0;0;0;0;x;x;
1;42;3;128;TOR_MARTEL;x;
2;84;6;1;FREDERHEIM;x;
3;126;9;129;GROSSBAD;x;
4;168;12;2;KALDACH;x;
5;0;15;130;HEILIGEN;x;
6;168;45;177;GLUCKSHALT;x;
7;84;21;131;RECHTLICH;x;
8;126;24;4;MARIENBURG;x;
9;168;27;132;VLAKLAND;x;
10;0;30;5;PALEISBUURT;x;
11;42;33;133;NOORDMUUR;x;
12;84;36;6;KRUIIERSMUUR;x;
13;126;39;134;GOUDBERG;x;
14;168;42;7;NULN;x;
15;0;45;135;BRANDSTADT;x;
16;42;48;8;BRAUNDORF;x;
17;84;51;136;WINKELHAUSEN;x;
18;126;54;9;KONIGSDORF;x;
19;168;57;137;SEGELDORF;x;
20;0;60;10;BLEICHDORF;x;
21;42;63;138;MIDDENHEIM;x;
22;84;66;11;NORDERINGEN;x;
23;126;69;139;ELSTERWELD;x;
24;168;72;12;ARENBURG;x;
25;0;75;140;JAGERHAUSEN;x;
26;42;78;13;SCHONINGHAGEN;x;
27;126;84;14;GREVENFELD;x;
28;84;81;141;TALABHEIM;x;
29;168;87;142;TAALGAAD;x;
30;0;90;15;HERNHAUSEN;x;
31;42;93;143;HAFERFAHRE;x;
32;84;96;16;SPROTAU;x;
33;126;99;144;GRUNDACH;x;
34;168;102;17;ROTHA;x;
35;0;105;145;TALABHEIM_RIDGE;x; #IMPASSABLE
36;42;108;18;EICHESCHATTEN;x;
37;84;111;146;MOLBERG;x;
38;126;114;19;BRANDENBERRY;x;
39;168;117;147;BIRNBAUM;x;
40;0;120;20;BOGGLEWORT;x;
41;42;123;148;VORCHDORF;x;
42;84;126;21;LEEDLETON;x;
43;126;129;149;TOTTLETOP;x;
44;168;132;22;SAUERAPFEL;x;
45;0;135;150;BIESWANG;x;
46;42;138;23;GLINDE;x;
47;84;141;151;EINSAMHOLZ;x;
48;126;144;24;GRUENHUEGEL;x;
49;168;147;152;EBERBACH;x;
50;0;150;25;TRAISKIRCH;x;
51;42;153;153;DREIFLUSSEN;x;
52;84;156;26;GIPFEL;x;
53;126;159;154;FALLENBLATT;x;
54;168;162;27;HAUKERN;x;
55;0;165;155;ZWINGENTHAL;x;
56;42;168;28;RAUNEUWALD;x;
57;84;171;156;HEILIGEFEUER;x;
58;126;174;29;SCHLOSS_REIKGARD;x;
59;168;177;157;LANGEWIESSEN;x;
60;0;180;30;LEUN;x;
61;42;183;158;ROTTEFACHE;x;
62;84;186;31;KEMPERBAD;x;
63;126;189;159;BERGHOF;x;
64;168;192;32;JUNGBACH;x;
65;0;195;160;BRANDENBURG;x;
66;42;198;33;OSTWALD;x;
67;84;201;161;STOCKHAUSEN;x;
68;126;204;34;WEISSBRUCK;x;
69;168;207;162;RAHDEN;x;
70;0;210;35;TEUCHERN;x;
71;42;0;163;VELTEN;x;
72;84;3;36;BOEGENHAFEN;x;
73;126;6;164;GRAUENBURG;x;
74;168;9;37;FINSTERBAD;x;
75;0;12;165;LIEBEROSE;x;
76;42;15;38;OLSBERG;x;
77;84;18;166;HOLTHUSEN;x;
78;126;21;39;SKAGGERDORF;x;
